Matchday,Date,Home Team,Away Team,Home Score,Away Score
31,2025-04-27T00:00:00Z,Olympique Lyonnais,Stade Rennais FC 1901,,
32,2025-05-04T00:00:00Z,Olympique Lyonnais,Racing Club de Lens,,
32,2025-05-04T00:00:00Z,Lille OSC,Olympique de Marseille,,
32,2025-05-04T00:00:00Z,OGC Nice,Stade de Reims,,
32,2025-05-04T00:00:00Z,Stade Brestois 29,Montpellier HSC,,
32,2025-05-04T00:00:00Z,AS Saint-Étienne,AS Monaco FC,,
32,2025-05-04T00:00:00Z,FC Nantes,Angers SCO,,
32,2025-05-04T00:00:00Z,Toulouse FC,Stade Rennais FC 1901,,
32,2025-05-04T00:00:00Z,RC Strasbourg Alsace,Paris Saint-Germain FC,,
32,2025-05-04T00:00:00Z,AJ Auxerre,Le Havre AC,,
33,2025-05-11T00:00:00Z,Stade de Reims,AS Saint-Étienne,,
33,2025-05-11T00:00:00Z,AJ Auxerre,FC Nantes,,
33,2025-05-11T00:00:00Z,Angers SCO,RC Strasbourg Alsace,,
33,2025-05-11T00:00:00Z,Le Havre AC,Olympique de Marseille,,
33,2025-05-11T00:00:00Z,Stade Rennais FC 1901,OGC Nice,,
33,2025-05-11T00:00:00Z,Montpellier HSC,Paris Saint-Germain FC,,
33,2025-05-11T00:00:00Z,Toulouse FC,Racing Club de Lens,,
33,2025-05-11T00:00:00Z,Stade Brestois 29,Lille OSC,,
33,2025-05-11T00:00:00Z,AS Monaco FC,Olympique Lyonnais,,
34,2025-05-18T00:00:00Z,Olympique de Marseille,Stade Rennais FC 1901,,
34,2025-05-18T00:00:00Z,Olympique Lyonnais,Angers SCO,,
34,2025-05-18T00:00:00Z,OGC Nice,Stade Brestois 29,,
34,2025-05-18T00:00:00Z,AS Saint-Étienne,Toulouse FC,,
34,2025-05-18T00:00:00Z,Lille OSC,Stade de Reims,,
34,2025-05-18T00:00:00Z,RC Strasbourg Alsace,Le Havre AC,,
34,2025-05-18T00:00:00Z,FC Nantes,Montpellier HSC,,
34,2025-05-18T00:00:00Z,Racing Club de Lens,AS Monaco FC,,
34,2025-05-18T00:00:00Z,Paris Saint-Germain FC,AJ Auxerre,,
